,mean,std,count
##eve,-0.42841738628669873,0.0,1.0
##section,-0.41781995569019154,0.0,1.0
continue,-0.41758231250073075,0.18508244462967915,9.0
##des,-0.415521467807925,0.0,1.0
##lose,-0.4126223826612567,0.0,1.0
##IB,-0.40983896551416316,0.4814280294892464,2.0
Think,-0.40956395222928976,0.11213728632729397,3.0
discussed,-0.40901821804126626,0.24396599634144417,79.0
handles,-0.40527739591687034,0.0,1.0
More,-0.40254436013245415,0.13040217267605037,4.0
##gg,-0.3983377298194375,0.24709394424235226,4.0
Please,-0.39557882454378596,0.0,1.0
Talk,-0.3945519199179269,0.03260837915716103,3.0
discuss,-0.39362547173068446,0.203126261270546,16.0
proportion,-0.3798408447939481,0.0,1.0
##rn,-0.3791621320881233,0.10341786249870233,2.0
Sc,-0.371365110165844,0.37826189281961414,2.0
bounce,-0.3648256956535333,0.0,1.0
backs,-0.36319942722057125,0.0,1.0
forget,-0.3630067651910713,0.21804059881370377,3.0
##ition,-0.3581680834913808,0.14730954339556815,3.0
edges,-0.35739830708780834,0.0,1.0
around,-0.35431076639483794,0.2668442737664783,44.0
tying,-0.35270557087830423,0.0,1.0
En,-0.3511980191616301,0.16364699531974608,14.0
uncertain,-0.3485019806660025,0.3803345048954267,2.0
##form,-0.34571070380801694,0.37584667081346484,3.0
##lities,-0.34064978902324805,0.0,1.0
Should,-0.3392472175451935,0.21527454523865586,3.0
psychiatrist,-0.33446851480193546,0.32190870511047137,2.0
So,-0.32563422105400475,0.3315837515359938,2.0
##lude,-0.32443886788493514,0.25156068978289925,2.0
Will,-0.3225462897837337,0.09198280102582367,5.0
should,-0.31654072688234447,0.16245889085597567,10.0
films,-0.3160600341017476,0.006357561192948906,3.0
Communication,-0.30950644124185955,0.27357986252646804,4.0
thing,-0.3072170333168299,0.0,1.0
minimize,-0.3053618401516868,0.23870983142057506,2.0
would,-0.3029277786466694,0.2415344864487986,45.0
##hum,-0.30240234380928244,0.0,1.0
reminded,-0.29975654866636264,0.24300336637941644,4.0
Progress,-0.2995819980468931,0.12644177088233494,2.0
suspect,-0.29888124385884457,0.0,1.0
faster,-0.29834253364385876,0.0,1.0
about,-0.296325553582827,0.2267341178420869,67.0
worry,-0.2958854351567354,0.0,1.0
Can,-0.29579839134092295,0.21632413205187787,5.0
relief,-0.2939043641635451,0.0,1.0
Reason,-0.29318907007796546,0.18451001934569702,5.0
Cut,-0.290902188462342,0.0,1.0
feeding,-0.2901036096287175,0.0,1.0
Alt,-0.28758048429795385,0.0,1.0
demonstrate,-0.2869617771894348,0.14769041363446297,4.0
Clean,-0.2844550776353959,0.0,1.0
ray,-0.28283832719204827,0.0,1.0
##tin,-0.28200060825955464,0.18432615549213574,21.0
suggest,-0.28003189984865856,0.23228142248190825,7.0
wider,-0.2792817070496691,0.0,1.0
Movement,-0.2786785858293232,0.0,1.0
Cover,-0.278517206569746,0.10879869721733909,2.0
##ered,-0.2775683480130845,0.0,1.0
Same,-0.27692073982667137,0.018104547528972392,3.0
Work,-0.2767720152169382,0.19335803873832003,13.0
rely,-0.27656647818050445,0.12340696296629097,3.0
Consul,-0.27524658244186323,0.18372827116693413,6.0
discussing,-0.2698950350299715,0.17172674293672638,5.0
##reate,-0.26985237212330165,0.0,1.0
Time,-0.26985087810460634,0.0,1.0
Management,-0.2687005058130284,0.2329506742874295,6.0
will,-0.26683351590424875,0.2512985624879376,35.0
commented,-0.2667789153161547,0.24642524330925508,2.0
eating,-0.2666717465325281,0.41368598724573313,2.0
##vise,-0.2662672069539341,0.17418168952366803,9.0
knows,-0.26417062341478664,0.4575492447283484,3.0
Could,-0.26345064439386684,0.11960259689537785,3.0
We,-0.26340898799144674,0.22651788401528644,52.0
variations,-0.2607555268675128,0.0,1.0
tools,-0.2605812602888233,0.1529838306010626,5.0
##lap,-0.25876827317932605,0.0,1.0
Sep,-0.2582252912216176,0.0,1.0
choosing,-0.2578251721264713,0.13742655272056073,3.0
Mostly,-0.25748099477601816,0.0,1.0
solving,-0.2549014152072485,0.18776920138991932,2.0
importance,-0.25132952786660767,0.2773819792797656,8.0
improvements,-0.25120815033608984,0.0,1.0
Read,-0.25114592988255846,0.174879933189747,2.0
rating,-0.24897629682352473,0.0,1.0
##up,-0.2475331779242757,0.2469849462245823,37.0
methods,-0.24704158343397364,0.09637496457607615,3.0
scene,-0.24577768485744292,0.0,1.0
First,-0.2446675779797065,0.26261079127395226,19.0
Knowledge,-0.24438782505242201,0.1477179389832723,2.0
