,mean,std,count
##iri,-0.23387186222309705,0.349829224141433,4.0
##bal,-0.23370959149327164,0.18147292918479646,14.0
share,-0.23352331314755886,0.15722686184147253,4.0
split,-0.23336311539153803,0.0,1.0
Ultra,-0.23282318506220778,0.0,1.0
##sed,-0.23244424881761946,0.24818332198102452,7.0
admit,-0.23082601098861422,0.25222554468887115,6.0
##trate,-0.23077049071265998,0.09692347362695707,3.0
wedge,-0.23034628152426753,0.0,1.0
##pic,-0.22954337212832243,0.07153873502046208,2.0
##able,-0.2292302834094399,0.16025814338891958,28.0
news,-0.2289865216033821,0.14454208103073932,3.0
medical,-0.2288393594646673,0.19341670921134005,45.0
thinking,-0.22883334011192505,0.14429739812511214,6.0
##sia,-0.22865685179263748,0.0,1.0
##fect,-0.22834669450899026,0.0,1.0
interesting,-0.22824801489549532,0.0,1.0
center,-0.22812856114208038,0.0,1.0
##aa,-0.2277779480237502,0.0,1.0
deemed,-0.22759647828614454,0.0,1.0
clinical,-0.22747421224353065,0.1739933951542572,59.0
GO,-0.22728205923348593,0.0,1.0
acquired,-0.2266504263983339,0.10896646298617492,3.0
transition,-0.22624226067122954,0.0,1.0
insight,-0.22573464241450067,0.16144900333361104,3.0
baby,-0.22570979536155322,0.06609862517306925,4.0
diagnosis,-0.22489236940300067,0.22045192786791307,59.0
##zure,-0.22480482022047898,0.0,1.0
struggling,-0.2244674268985078,0.0,1.0
arrived,-0.22389046793549644,0.10902414026532424,2.0
litigation,-0.2236512168054057,0.0,1.0
##bial,-0.22359325071623296,0.0,1.0
speaking,-0.22336170591257318,0.0,1.0
seeking,-0.22333448781908669,0.07766541313400202,4.0
##pen,-0.22271829628608025,0.21939536327531103,7.0
super,-0.22266736935345793,0.009703078618704022,2.0
characteristic,-0.22175450049637216,0.3011358364685654,3.0
carry,-0.2214325922847459,0.0,1.0
community,-0.22107105822442863,0.11564124435036349,6.0
understands,-0.22101178912947647,0.11730828558935139,2.0
admission,-0.22078431480544086,0.16022862559560871,26.0
CB,-0.22060973255006633,0.0,1.0
##ively,-0.22058476768216284,0.06389685836375554,2.0
absorb,-0.22007381206472793,0.004539395771333679,2.0
measurement,-0.2198471469878276,0.0,1.0
##ination,-0.21981703416952258,0.18712011946332152,2.0
il,-0.21980439656262402,0.11849213014299735,2.0
##mpo,-0.21975354011000212,0.12212639216313795,4.0
ha,-0.21960124685006815,0.0,1.0
completion,-0.21930659290409638,0.08958985625322141,2.0
##urance,-0.21924497037808904,0.10706442093492811,5.0
grade,-0.21910513877501117,0.10198902183519307,2.0
##copy,-0.2189519958615083,0.1150611212894064,15.0
observation,-0.21838542819350953,0.1861874181261729,8.0
tune,-0.2180437791296937,0.0,1.0
##ngo,-0.2179490645335512,0.0,1.0
##qua,-0.2172391733053456,0.15719140765684875,4.0
gets,-0.21723897336827266,0.0,1.0
##lai,-0.21692105498167993,0.08026232319214419,2.0
##ber,-0.21666977356201308,0.0,1.0
extreme,-0.21641354368165389,0.014450511547074926,2.0
##lance,-0.2163358549491108,0.0,1.0
hospitals,-0.2162533464174222,0.0,1.0
Their,-0.21599424790260643,0.09034843850099256,9.0
extracted,-0.2157174477042291,0.0,1.0
##gu,-0.2156800071574474,0.1529365952583865,4.0
##tics,-0.2153384126855894,0.0,1.0
affected,-0.2153219441649214,0.0,1.0
crew,-0.21518719453271498,0.0,1.0
##essed,-0.2150104938798351,0.0,1.0
suicide,-0.21483424868583037,0.1738480139037936,3.0
front,-0.21483284459776478,0.001440724424884271,2.0
##ten,-0.214710827154025,0.20802234840850062,6.0
diver,-0.21459147938996426,0.05258453554115955,3.0
##dant,-0.21446335066281025,0.10947563877752557,2.0
inflicted,-0.21439657367068685,0.0,1.0
vent,-0.2143372947387243,0.16291299566228706,4.0
diagnostic,-0.21432967142879936,0.15554295737359733,20.0
police,-0.21396723461133818,0.0,1.0
teenager,-0.2134663008119756,0.021170828252968524,2.0
Although,-0.21294915427753014,0.06542433890120061,3.0
##bes,-0.2128185060243556,0.0,1.0
