,mean,std,count
days,-0.2526681973356116,0.21444501749231434,2.0
unnecessary,-0.25218264916464905,0.0,1.0
bleeding,-0.25214948488290895,0.15395047934695286,12.0
##plicate,-0.2506669719971987,0.11089872739155297,7.0
trigger,-0.2505773881287149,0.01965117575068269,2.0
findings,-0.25035749384856665,0.12531729202870384,35.0
investigations,-0.24953168560430247,0.16903678030422217,59.0
central,-0.24828735640109598,0.10606443884697996,13.0
collected,-0.24817017171993935,0.0,1.0
residents,-0.2479532138515613,0.1501422307460793,7.0
interpreted,-0.2472293406881169,0.052924176306675355,5.0
stage,-0.24699019314797316,0.2244759923606407,5.0
suicide,-0.24686301309071337,0.16426028003646087,3.0
read,-0.24643742378780897,0.09482190202675918,8.0
##ash,-0.2448552878390776,0.09133207268786653,3.0
edges,-0.24481818445954043,0.0,1.0
##VA,-0.24461825426518727,0.0,1.0
##ough,-0.24459692690281468,0.19822178669873816,45.0
##sia,-0.24457841758618848,0.0,1.0
complications,-0.24456697665789257,0.2205040948376634,14.0
##roid,-0.24419233672301296,0.0,1.0
sees,-0.24415917033093903,0.0,1.0
lumber,-0.24406087580767372,0.0,1.0
ordering,-0.24392595988715884,0.21821584801347424,13.0
located,-0.24291254021839698,0.0012102038324687953,2.0
##FB,-0.24246296989156313,0.0,1.0
##titis,-0.2419923518596328,0.028254726134323505,2.0
##rises,-0.24165824822859072,0.0,1.0
suggesting,-0.24162332181512372,0.0,1.0
barrier,-0.24148146959205116,0.31585783008705604,4.0
consulted,-0.24111716104231462,0.14893287757350254,21.0
chest,-0.24023401011736004,0.12733409694450298,36.0
treated,-0.23990728522918134,0.1743592146657472,11.0
##cope,-0.23958473511823494,0.10234094848918024,3.0
deemed,-0.2395639761800649,0.0,1.0
positioned,-0.23936371346808302,0.0,1.0
confusion,-0.23909564041696155,0.0,1.0
satisfactory,-0.23906162507808698,0.0,1.0
procedure,-0.23854094630416467,0.1641690846541276,71.0
abuse,-0.23804443111677717,0.14067081145300095,4.0
witnessed,-0.23802425952857661,0.0,1.0
managing,-0.23780156126553118,0.2625915759481825,31.0
scan,-0.23742631627908858,0.1041788814627701,19.0
Immediately,-0.23685976654640709,0.0,1.0
recognized,-0.23614954220934822,0.11156722301824316,28.0
tube,-0.23571281953687734,0.10811375512469676,20.0
identification,-0.2356069621261201,0.1329628574621045,7.0
coverage,-0.2354733832539341,0.19668128231284202,3.0
##oper,-0.23512768042151036,0.07515848346534945,2.0
##tory,-0.23417855184270656,0.0,1.0
##sted,-0.23349545624865942,0.021293381438289197,2.0
##uted,-0.23323667614527097,0.0,1.0
drainage,-0.23313178436057977,0.22736838009441604,6.0
poorly,-0.23250134137962114,0.0,1.0
elbow,-0.2324141436757305,0.32645835500918613,4.0
hi,-0.23217401019067518,0.027331255836998414,2.0
size,-0.23217226872288485,0.01880698126788774,2.0
record,-0.23171363887054996,0.16097435938595386,3.0
collection,-0.23146954041441023,0.0,1.0
presenting,-0.2312009100392814,0.10020873993064415,34.0
strain,-0.23105806117665265,0.1329440625455869,3.0
##cess,-0.23093996503279532,0.1530706523986209,14.0
ul,-0.23076440000613171,0.1250685075991407,2.0
cc,-0.22982484048330598,0.05812755708665353,2.0
wounds,-0.22913394298354944,0.0,1.0
##nco,-0.22887011688169778,0.0,1.0
Excellent,-0.2285272977181741,0.28066041986139373,184.0
infants,-0.2279870345924055,0.0,1.0
##cu,-0.2274850117882467,0.1279179705266009,11.0
##BO,-0.22748019601670919,0.0,1.0
grain,-0.22717853337347962,0.0,1.0
##bula,-0.22716551053563933,0.005172245145628557,2.0
##erus,-0.22675421828350087,0.11001399093410061,2.0
activated,-0.22673908471116622,0.0,1.0
##onized,-0.2267258855338574,0.0,1.0
corrected,-0.22637936282097273,0.0,1.0
##roi,-0.2259251380416597,0.0,1.0
nail,-0.22562676018446862,0.13293770555201412,11.0
results,-0.22554024108382445,0.1674321571371698,14.0
presentations,-0.22548097376529674,0.08594364196336837,20.0
##ques,-0.22491458541628764,0.0,1.0
##KA,-0.2248357138307481,0.15716097186025765,14.0
inform,-0.2247168857396599,0.1613095181968298,4.0
LP,-0.22446212557684966,0.31114230952828226,19.0
complex,-0.22445126434175508,0.14699480701842163,107.0
injection,-0.22401210944304503,0.14654781394800162,4.0
ankle,-0.22397738794629504,0.0946536419686974,9.0
scanned,-0.22363802000766292,0.0,1.0
documented,-0.22360464891745202,0.0943534789702156,3.0
cloud,-0.22318513843243495,0.0,1.0
##IC,-0.22302342023633676,0.0,1.0
##gating,-0.2226250157740873,0.07015031427354042,6.0
they,-0.22261884732478773,0.1363391937445519,175.0
Managing,-0.22260559807469554,0.0677306817746846,2.0
charting,-0.22230196786103268,0.0,1.0
bin,-0.22217693633651758,0.0,1.0
tap,-0.22147893557764983,0.0,1.0
sin,-0.22039790822280914,0.0,1.0
reducing,-0.22003706310360052,0.2585374417483556,4.0
Young,-0.21993995538590014,0.41545073619482314,3.0
##ture,-0.21974133174714253,0.26169288575927324,15.0
undergoing,-0.21957374235140628,0.0,1.0
exam,-0.2195074415889426,0.1790933769765885,69.0
dental,-0.21943053564351214,0.06685784367034173,4.0
separating,-0.21939271829307014,0.0,1.0
lacked,-0.2191911113392185,0.0,1.0
rooms,-0.21857075447408958,0.15656771325423108,2.0
site,-0.21817470820765666,0.0,1.0
images,-0.2176325334769759,0.050060435314755444,7.0
recommendation,-0.21713663689894522,0.0,1.0
brush,-0.2171317703676398,0.0,1.0
improvements,-0.21693194600705895,0.0,1.0
receiving,-0.21641310120668503,0.018747397821910733,2.0
intro,-0.2156382805247319,0.0,1.0
3rd,-0.21548903140595635,0.18306934909245431,3.0
##psis,-0.21548651574672545,0.19390966203691967,16.0
reduced,-0.21544351899565875,0.12032207232480914,9.0
measures,-0.21532243721382782,0.07413757864743985,3.0
document,-0.2150988045541725,0.07599769821735929,5.0
throat,-0.21506676826725937,0.0,1.0
masked,-0.21478290142443804,0.0,1.0
##biotic,-0.2147339819531434,0.12240175355679105,7.0
##NT,-0.21468794716276945,0.22491017556837917,5.0
without,-0.2142756927653886,0.18640887996067537,48.0
healthcare,-0.21400972774350552,0.039907881743390404,4.0
Adult,-0.21357981560657832,0.0,1.0
performed,-0.2127911266562009,0.22296282267251946,56.0
presentation,-0.21277193221806964,0.14261796794184153,63.0
identifying,-0.21231408754556766,0.13630373203802396,7.0
Cal,-0.21196533116208563,0.22114739534377292,5.0
line,-0.2116891584413974,0.20928884137211828,23.0
poor,-0.21157609308570074,0.0,1.0
US,-0.21149488027250227,0.14462314343371294,31.0
headache,-0.21121605073330166,0.20336483645624806,9.0
press,-0.21117771078861197,0.030431550397904007,4.0
##ients,-0.21081471715252045,0.0,1.0
skin,-0.21077214582656403,0.16149189067844785,6.0
eyes,-0.2106220502076384,0.0,1.0
##ediatric,-0.21013225621453444,0.17746294106883886,15.0
administered,-0.20996477537155278,0.023091536183510016,3.0
Breaking,-0.20996403157615695,0.0,1.0
stones,-0.20988870772144144,0.0,1.0
##dated,-0.209822469433424,0.14032616561887146,4.0
##sa,-0.20981471298785218,0.0,1.0
global,-0.20957234195991734,0.0,1.0
preceding,-0.2095680884105579,0.0,1.0
ultra,-0.2094190045221567,0.09949238748464655,30.0
elements,-0.209338656806064,0.11478870519028513,3.0
July,-0.20929710169173124,0.0,1.0
incarcerated,-0.20914182516895682,0.05791011419199113,2.0
tons,-0.20911820671339837,0.05459889657614869,2.0
They,-0.2090751300086389,0.14896285315104738,194.0
takes,-0.20901163971484257,0.08898904771475942,2.0
script,-0.20892269295525756,0.0,1.0
managed,-0.20884136598629738,0.20643170959108173,115.0
ups,-0.20876533489018229,0.07457259135620807,4.0
floor,-0.20866934189947697,0.0,1.0
Note,-0.20834385594653693,0.0,1.0
prompting,-0.2082493150031336,0.15845810903375174,60.0
included,-0.20759149266640906,0.056869081865906654,7.0
outside,-0.20635211753193314,0.0,1.0
details,-0.20600204078933135,0.11510067773325726,9.0
##ration,-0.20590603429271148,0.19228026107541285,40.0
##sm,-0.2057724696926746,0.2010251135595506,4.0
cord,-0.20571583334279286,0.12938458347298068,5.0
report,-0.20543679737195472,0.1496198870618189,5.0
bay,-0.20523082645577742,0.0,1.0
dial,-0.20514029811910447,0.1724164902162534,7.0
imaging,-0.20512654924520726,0.14775671264020634,28.0
cut,-0.2049835043119173,0.012156453823233715,2.0
##tured,-0.20491623843837062,0.09711070702064183,4.0
observing,-0.20460457059976306,0.09943760903677401,2.0
Ju,-0.20448784222420943,0.0,1.0
gang,-0.2044761877170313,0.0,1.0
##inating,-0.20442171584957836,0.005673210023005901,2.0
wedge,-0.20439140834726502,0.0,1.0
technical,-0.20420435323814087,0.05078319111514524,3.0
consultation,-0.20370041465059796,0.12008031808029185,22.0
touch,-0.2034890034027209,0.1744617634775363,4.0
intact,-0.203475423900216,0.0,1.0
##nx,-0.2034463426277332,0.0,1.0
temporal,-0.2034273411210576,0.0,1.0
cancer,-0.20310996265867318,0.10161078907925654,8.0
internal,-0.20308131343385613,0.11711519871653915,7.0
image,-0.20305517739009848,0.16077147085557664,16.0
pat,-0.20292277843964918,0.0,1.0
vol,-0.20251747194296202,0.003771170827417708,2.0
##ology,-0.20200180383039004,0.14494264158300968,10.0
treating,-0.20172625461578605,0.0,1.0
explained,-0.20134555500173176,0.052628987994366334,6.0
##ses,-0.20132367428374345,0.11377018223091427,7.0
##ficient,-0.20106651091195077,0.24303605708862513,4.0
rotation,-0.20099606268332987,0.24833149415494382,7.0
presented,-0.20070297941594126,0.13184426761503454,27.0
error,-0.20066572564507612,0.0,1.0
appeared,-0.20051284383682946,0.0,1.0
